"","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"1","",3570,125,5343,268,NA,"MaggieMai O Sullivan",2013-11-18 19:23:44,FALSE,FALSE,"maggiemai66","Ireland","en","2201842338",3,FALSE,"http://pbs.twimg.com/profile_images/769960534980620289/xJlGIR1C_normal.jpg"
"2","",74753,676,29827,1028,NA,"Pokkiehat",2012-09-02 19:52:43,FALSE,FALSE,"Pokkiehat","","en","798939415",94,FALSE,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"3","",50929,1032,15360,2340,NA,"michael jordan",2012-08-24 18:40:53,FALSE,FALSE,"michael98708523","","en","778753028",71,FALSE,"http://pbs.twimg.com/profile_images/660469029740507136/rw3HjiwF_normal.png"
"4","Minister for Community Development, Natural Resources & Digital Development -                       Fine Gael TD for Galway West/Mayo South",4606,4673,2336,513,"https://t.co/nDU6isdHNE","Seán Kyne TD",2011-06-13 07:41:27,FALSE,TRUE,"SeanKyneTD","Galway","en","316306021",141,FALSE,"http://pbs.twimg.com/profile_images/867470991047479296/oLH56E36_normal.jpg"
"5","Irish; B.Ed., M.Sc (Sociology/Epistemology, London) interests include,  Politics, Art, Archaeology, History, Nature, Natural Law, Theatre+ Film, BDS supporter",233244,3574,119835,4968,NA,"Brendan O'Kelly",2009-12-07 13:22:05,FALSE,FALSE,"yllekonadnerb","Dublin","en","95199214",596,FALSE,"http://pbs.twimg.com/profile_images/491851316277555202/kPHYuVzc_normal.jpeg"
"6","Ethereal Heart Foundation fights against #foodwaste and feed #children in need and reduce #social inequalities. #zerohunger #sustainability #charity #help #Food",1009362,19824,449,3785,NA,"Ethereal Heart Fdn",2017-01-30 08:00:18,FALSE,FALSE,"EHFoundation237","Cameroon ","en","825976920609288192",501,FALSE,"http://pbs.twimg.com/profile_images/899230852336496640/BId6vRrb_normal.jpg"
"7","Irish Water's official customer care channel, here to help Mon-Fri 9-8. Service updates are posted 24/7 here and on https://t.co/T0AeanmwAt",45527,10284,365,3621,"http://t.co/aCXKQ2flQ9","Irish Water Care",2015-03-10 11:32:10,FALSE,TRUE,"IWCare","Ireland","en","3083740683",43,FALSE,"http://pbs.twimg.com/profile_images/877453858292867072/1t6s_2Zd_normal.jpg"
"8","Loves food, family, tennis, in that order",944,73,2623,245,NA,"Rhona Pinard",2009-07-09 14:44:20,FALSE,FALSE,"rhonapinard","Dublin Ireland","en","55254396",3,FALSE,"http://pbs.twimg.com/profile_images/572500548177559552/zuF8ci9H_normal.jpeg"
"9","Freedom! What will you do with it today?",8752,711,198,1679,"http://t.co/vgJRtOv9Nf","Steven Bennett",2011-08-13 03:37:58,FALSE,FALSE,"StevenMobile","Dublin, Ireland","en","354090433",11,FALSE,"http://pbs.twimg.com/profile_images/1493964754/Dr0XBIDE_normal"
"10","Just sick and tired of political corruption nepotism & injustice towards ordinary working classes while known scam artists sit in our Dail!",200,896,12508,822,NA,"blackcoffee",2011-02-07 21:17:23,FALSE,FALSE,"blackcoffeecup","Dublin Ireland","en","248849381",22,FALSE,"http://pbs.twimg.com/profile_images/913696035398209537/cCbtZ36s_normal.jpg"
